x, User Class 1, User Class 2, User Class 3
0, 1.50577435897, 1.8272, 0.165314285714
1, 0.677182432432, 1.61891891892, 0.332741312741
2, 2.83227380952, 2.44571428571, 0.173469387755
3, 2.60015503876, 3.07279069767, 0.820199335548
4, 2.43021544715, 0.21825, 0.33725
5, 5.54418803419, 0.447692307692, 0.457985347985
6, 3.26113154961, 0.0505128205128, 0.440347985348
7, 2.83942550505, 0.252045454545, 0.391168831169
8, 2.39322028986, 0.505652173913, 0.486956521739
9, 1.62881944444, 0.005625, 0.272529761905
10, 1.7215627763, 0.0, 0.257857142857
11, 2.12877777778, 0.5575, 0.414928571429
12, 2.57543771044, 0.189545454545, 0.346477272727
13, 2.3725, 0.345833333333, 0.444494047619
14, 2.12944382232, 0.441052631579, 0.322330827068
15, 3.00642706131, 0.603023255814, 0.689833887043
16, 12.6114427609, 12.8645454545, 5.83779220779
17, 20.587627193, 24.22225, 9.035
18, 12.7547108262, 7.39215384615, 5.12608791209
19, 3.62578460039, 3.82026315789, 0.926052631579
20, 1.03976495726, 6.52125, 0.270535714286
21, 1.28232323232, 3.12909090909, 0.296493506494
22, 1.40434343434, 2.84939393939, 0.171212121212
23, 0.966344086022, 2.20741935484, 0.205529953917
