,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,nwatts,,cr,,,
3,41154.25,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.25,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.29,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.35,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.38,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.42,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.46,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.50,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.54,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.58,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.64,2.79,0,0,92.82,,,,,,,,2.78,0,#N/A,92.82,,,
3,41154.67,5.53,0,22.76,92.08,,,,,,,,5.52,0,#N/A,92.08,,,
3,41154.71,16,0,11.65,89.23,,,,,,,,15.99,0,#N/A,89.23,,,
3,41154.75,25.53,0.51,11.75,86.65,,,,,,,,25.52,0.51,#N/A,86.65,,,
3,41154.79,37.27,12.25,11.32,83.48,,,,,,,,37.26,12.25,#N/A,83.48,,,
3,41154.80,37.27,12.25,0,83.48,,,,,,,,37.26,12.25,#N/A,83.48,,,
3,41154.83,37.27,12.25,0.38,83.48,,,,,,,,37.26,12.25,#N/A,83.48,,,
3,41154.88,37.27,12.25,0.59,83.48,,,,,,,,37.26,12.25,#N/A,83.48,,,
3,41154.92,37.27,12.25,0,83.48,,,,,,,,37.26,12.25,#N/A,83.48,,,
3,41154.96,37.27,12.25,0.49,83.48,,,,,,,,37.26,12.25,#N/A,83.48,,,
3,41155.00,37.3,12.28,0.38,83.47,,,,,,,,0,0,#N/A,83.47,,,
3,41155.06,37.3,12.28,0,83.47,,,,,,,,0,0,#N/A,83.47,,,
3,41155.08,37.3,12.28,0,83.47,,,,,,,,0,0,#N/A,83.47,,,
3,41155.13,37.65,12.28,0,83.38,,,,,,,,0.35,0,#N/A,83.38,,,
3,41155.14,38.27,12.28,11.75,83.21,,,,,,,,0.97,0,#N/A,83.21,,,
3,41155.21,40.11,12.28,0,82.71,,,,,,,,2.81,0,#N/A,82.71,,,
3,41155.25,40.12,12.28,0,82.71,,,,,,,,2.82,0,#N/A,82.71,,,
3,41155.29,40.12,12.28,0,82.71,,,,,,,,2.82,0,#N/A,82.71,,,
3,41155.33,40.12,12.28,0,82.71,,,,,,,,2.82,0,#N/A,82.71,,,
3,41155.38,40.12,12.28,0,82.71,,,,,,,,2.82,0,#N/A,82.71,,,
3,41155.42,40.12,12.28,0,82.71,,,,,,,,2.82,0,#N/A,82.71,,,
3,41155.43,40.13,12.28,0,82.71,,,,,,,,2.83,0,#N/A,82.71,,,
3,41155.47,40.13,12.28,0,82.71,,,,,,,,2.83,0,#N/A,82.71,,,
3,41155.50,40.13,12.28,0,82.71,,,,,,,,2.83,0,#N/A,82.71,,,
3,41155.54,40.13,12.28,0,82.71,,,,,,,,2.83,0,#N/A,82.71,,,
3,41155.60,40.13,12.28,0,82.71,,,,,,,,2.83,0,#N/A,82.71,,,
3,41155.63,40.13,12.28,0,82.71,,,,,,,,2.83,0,#N/A,82.71,,,
3,41155.67,40.31,12.28,0,82.66,,,,,,,,3.01,0,#N/A,82.66,,,
3,41155.71,44.32,12.28,11.32,81.57,,,,,,,,7.02,0,#N/A,81.57,,,
3,41155.75,53.82,12.28,11.75,79.03,,,,,,,,16.52,0,#N/A,79.03,,,
3,41155.79,56.61,15.07,0,78.29,,,,,,,,19.31,2.79,#N/A,78.29,,,
3,41155.83,56.61,15.07,0,78.29,,,,,,,,19.31,2.79,#N/A,78.29,,,
3,41155.88,56.61,15.07,0,78.29,,,,,,,,19.31,2.79,#N/A,78.29,,,
3,41155.89,56.61,15.07,0,78.29,,,,,,,,19.31,2.79,#N/A,78.29,,,
3,41155.92,56.61,15.07,0,78.29,,,,,,,,19.31,2.79,#N/A,78.29,,,
3,41155.96,56.61,15.07,0,78.29,,,,,,,,19.31,2.79,#N/A,78.29,,,
3,41156.00,56.61,15.07,0.27,78.29,,,,,,,,0,0,#N/A,78.29,,,
3,41156.04,56.61,15.07,0,78.29,,,,,,,,0,0,#N/A,78.29,,,
3,41156.08,56.61,15.07,0,78.29,,,,,,,,0,0,#N/A,78.29,,,
3,41156.13,56.61,15.07,0,78.29,,,,,,,,0,0,#N/A,78.29,,,
3,41156.17,57.79,15.07,0,77.97,,,,,,,,1.18,0,#N/A,77.97,,,
3,41156.21,57.79,15.07,0,77.97,,,,,,,,1.18,0,#N/A,77.97,,,
3,41156.25,64.86,15.07,11,76.08,,,,,,,,8.25,0,#N/A,76.08,,,
3,41156.29,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.33,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.35,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.38,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.42,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.43,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.46,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.49,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.50,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.54,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.58,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.60,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.60,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.63,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.64,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.65,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.67,69.3,15.07,0,74.89,,,,,,,,12.69,0,#N/A,74.89,,,
3,41156.68,69.31,15.07,0,74.89,,,,,,,,12.7,0,#N/A,74.89,,,
3,41156.71,70.26,15.07,11.65,74.63,,,,,,,,13.65,0,#N/A,74.63,,,
3,41156.75,75.16,15.07,0,73.31,,,,,,,,18.55,0,#N/A,73.31,,,
3,41156.79,80.59,20.5,0,71.84,,,,,,,,23.98,5.43,#N/A,71.84,,,
3,41156.83,80.59,20.5,0,71.84,,,,,,,,23.98,5.43,#N/A,71.84,,,
3,41156.88,80.59,20.5,0,71.84,,,,,,,,23.98,5.43,#N/A,71.84,,,
