c1,9/3/12,t29.1999999999999,n0,cr487.97
c1,9/3/12,t29.1999999999999,n0,cr487.97
c1,9/3/12,t34.9799999999999,n5.78,cr485.55
c1,9/3/12,t36.9899999999999,n7.79,cr484.71
c1,9/3/12,t36.9899999999999,n7.79,cr484.71
c1,9/3/12,t37,n7.8,cr484.71
c1,9/3/12,t37,n7.8,cr484.71
c1,9/4/12,t0,n0,cr484.71
c1,9/4/12,t0,n0,cr484.71
c1,9/4/12,t0,n0,cr484.71
c1,9/4/12,t0,n0,cr484.71
c1,9/4/12,t2.21999999999999,n0,cr483.78
c1,9/4/12,t2.28999999999999,n0,cr483.75
c1,9/4/12,t8.92,n0,cr480.96
c1,9/4/12,t8.92,n0,cr480.96
c1,9/4/12,t19.54,n0,cr476.5
c1,9/4/12,t24.2499999999999,n0,cr474.52
c1,9/4/12,t31.9399999999999,n0,cr471.3
c1,9/4/12,t32.0199999999999,n0,cr471.27
c1,9/4/12,t33.17,n0,cr470.79
c1,9/4/12,t33.17,n0,cr470.79
c1,9/4/12,t33.17,n0,cr470.79
c1,9/4/12,t33.17,n0,cr470.79
c1,9/4/12,t33.2199999999999,n0,cr470.77
c1,9/4/12,t33.2399999999999,n0,cr470.77
c1,9/4/12,t33.2399999999999,n0,cr470.77
c1,9/4/12,t33.2399999999999,n0,cr470.77
c1,9/4/12,t33.2399999999999,n0,cr470.77
c1,9/4/12,t33.2399999999999,n0,cr470.77
c1,9/4/12,t33.2399999999999,n0,cr470.77
c1,9/4/12,t33.54,n0,cr470.65
c1,9/4/12,t39.8699999999999,n0,cr468
c1,9/4/12,t59.6499999999999,n0,cr459.7
c1,9/4/12,t96.7799999999999,n0,cr444.12
c1,9/4/12,t107.219999999999,n10.44,cr439.73
c1,9/4/12,t107.23,n10.45,cr439.73
c1,9/4/12,t107.23,n10.45,cr439.73
c1,9/4/12,t107.619999999999,n10.84,cr439.57
c1,9/4/12,t107.619999999999,n10.84,cr439.57
c1,9/5/12,t0,n0,cr439.57
c1,9/5/12,t0.01,n0,cr439.57
c1,9/5/12,t0.01,n0,cr439.57
c1,9/5/12,t0.01,n0,cr439.57
c1,9/5/12,t0.1,n0,cr439.55
c1,9/5/12,t8.27,n0,cr437.34
